EID,Date,Time
2022,2022-03-03,01:41:25.916567
2006,2022-03-03,01:41:25.921599
2005,2022-03-03,01:41:25.926662
2021,2022-03-03,01:41:25.931607
2008,2022-03-03,01:41:25.935649
2007,2022-03-04,01:41:25.943605
2010,2022-03-04,01:41:25.948615
2005,2022-03-04,01:41:25.953646
2026,2022-03-04,01:41:25.958603
2020,2022-03-04,01:41:25.962653
2031,2022-03-04,01:41:25.969606
2019,2022-03-04,01:41:25.975608
2030,2022-03-04,01:41:25.979653
2014,2022-03-04,01:41:25.986635
2029,2022-03-04,01:41:25.992615
2028,2022-03-04,01:41:25.996661
2025,2022-03-04,01:41:26.004620
2023,2022-03-04,01:41:26.008628
2024,2022-03-04,01:41:26.012667
2027,2022-03-04,01:41:26.020250
2012,2022-03-04,01:41:26.026227
2017,2022-03-04,01:41:26.032182
2004,2022-03-04,01:41:26.037179
2009,2022-03-04,01:41:26.041228
2022,2022-03-04,01:41:26.049180
2011,2022-03-04,01:41:26.054181
2019,2022-03-05,01:41:26.062183
2013,2022-03-05,01:41:26.068248
2020,2022-03-05,01:41:26.073223
2011,2022-03-05,01:41:26.078180
2008,2022-03-05,01:41:26.085180
2004,2022-03-05,01:41:26.091180
2021,2022-03-05,01:41:26.096223
2012,2022-03-05,01:41:26.102184
2005,2022-03-05,01:41:26.107183
2010,2022-03-05,01:41:26.112234
2026,2022-03-05,01:41:26.118677
2027,2022-03-05,01:41:26.122678
2006,2022-03-05,01:41:26.128678
2017,2022-03-05,01:41:26.133723
2031,2022-03-05,01:41:26.138676
2025,2022-03-05,01:41:26.145676
2015,2022-03-05,01:41:26.152750
2029,2022-03-05,01:41:26.158984
2018,2022-03-05,01:41:26.164990
2016,2022-03-05,01:41:26.170038
2022,2022-03-05,01:41:26.176070
2007,2022-03-05,01:41:26.180148
2023,2022-03-05,01:41:26.186103
2009,2022-03-05,01:41:26.195177
2022,2022-03-06,01:41:26.202104
2019,2022-03-06,01:41:26.212117
2014,2022-03-06,01:41:26.221745
2028,2022-03-06,01:41:26.227805
2026,2022-03-06,01:41:26.233699
2004,2022-03-06,01:41:26.240711
2005,2022-03-06,01:41:26.246717
2008,2022-03-06,01:41:26.254706
2009,2022-03-06,01:41:26.260744
2012,2022-03-06,01:41:26.266705
2027,2022-03-06,01:41:26.273068
2010,2022-03-06,01:41:26.279071
2023,2022-03-06,01:41:26.286122
2029,2022-03-06,01:41:26.292071
2024,2022-03-06,01:41:26.298074
2021,2022-03-06,01:41:26.306078
2011,2022-03-06,01:41:26.318616
2015,2022-03-06,01:41:26.323612
2018,2022-03-06,01:41:26.329612
2007,2022-03-06,01:41:26.337612
2013,2022-03-07,01:41:26.343615
2014,2022-03-07,01:41:26.348612
2007,2022-03-07,01:41:26.355658
2011,2022-03-07,01:41:26.361663
2009,2022-03-07,01:41:26.367612
2022,2022-03-07,01:41:26.375616
2023,2022-03-07,01:41:26.380671
2005,2022-03-07,01:41:26.387613
2030,2022-03-07,01:41:26.393676
2004,2022-03-07,01:41:26.398613
2012,2022-03-07,01:41:26.405664
2015,2022-03-07,01:41:26.411616
2019,2022-03-07,01:41:26.416888
2017,2022-03-07,01:41:26.422924
2028,2022-03-07,01:41:26.427926
2018,2022-03-07,01:41:26.433929
2016,2022-03-07,01:41:26.439866
2020,2022-03-07,01:41:26.444866
2031,2022-03-07,01:41:26.450941
2006,2022-03-07,01:41:26.456930
2027,2022-03-08,01:41:26.464136
2013,2022-03-08,01:41:26.469116
2020,2022-03-08,01:41:26.474115
2019,2022-03-08,01:41:26.479072
2017,2022-03-08,01:41:26.487133
2028,2022-03-08,01:41:26.493071
2011,2022-03-08,01:41:26.499072
2006,2022-03-08,01:41:26.506078
2025,2022-03-08,01:41:26.512128
2009,2022-03-08,01:41:26.521740
2022,2022-03-08,01:41:26.527740
2015,2022-03-08,01:41:26.533801
2008,2022-03-08,01:41:26.539740
2007,2022-03-08,01:41:26.545759
2014,2022-03-08,01:41:26.552740
2004,2022-03-08,01:41:26.557790
2010,2022-03-08,01:41:26.565741
2026,2022-03-08,01:41:26.571740
2024,2022-03-08,01:41:26.577741
2021,2022-03-08,01:41:26.584741
2023,2022-03-09,01:41:26.589801
2008,2022-03-09,01:41:26.594805
2014,2022-03-09,01:41:26.601744
2029,2022-03-09,01:41:26.609784
2015,2022-03-09,01:41:26.615234
2017,2022-03-09,01:41:26.622293
2005,2022-03-09,01:41:26.631239
2009,2022-03-09,01:41:26.640243
2018,2022-03-09,01:41:26.647274
2022,2022-03-09,01:41:26.654238
2012,2022-03-09,01:41:26.663248
2027,2022-03-09,01:41:26.670782
2020,2022-03-09,01:41:26.676828
2013,2022-03-09,01:41:26.682788
2006,2022-03-09,01:41:26.689864
2016,2022-03-09,01:41:26.694837
2026,2022-03-09,01:41:26.701846
2021,2022-03-09,01:41:26.706883
2004,2022-03-09,01:41:26.711861
2010,2022-03-09,01:41:26.718138
2011,2022-03-09,01:41:26.723176
2007,2022-03-09,01:41:26.729176
2030,2022-03-09,01:41:26.735172
2029,2022-03-10,01:41:26.742419
2025,2022-03-10,01:41:26.747429
2028,2022-03-10,01:41:26.755422
2017,2022-03-10,01:41:26.761476
2012,2022-03-10,01:41:26.771422
2026,2022-03-10,01:41:26.775476
2014,2022-03-10,01:41:26.783423
2023,2022-03-10,01:41:26.790609
2018,2022-03-10,01:41:26.797655
2008,2022-03-10,01:41:26.807649
2031,2022-03-10,01:41:26.813625
2022,2022-03-10,01:41:26.822363
2030,2022-03-10,01:41:26.828367
2024,2022-03-10,01:41:26.835369
2007,2022-03-10,01:41:26.842367
2027,2022-03-10,01:41:26.850368
2016,2022-03-10,01:41:26.856370
2010,2022-03-10,01:41:26.862402
2009,2022-03-10,01:41:26.869367
2021,2022-03-10,01:41:26.875417
2006,2022-03-10,01:41:26.883398
2004,2022-03-10,01:41:26.889367
2020,2022-03-10,01:41:26.895367
2024,2022-03-11,01:41:26.903431
2017,2022-03-11,01:41:26.910435
2008,2022-03-11,01:41:26.918083
2016,2022-03-11,01:41:26.924077
2007,2022-03-11,01:41:26.930081
2029,2022-03-11,01:41:26.939070
2005,2022-03-11,01:41:26.946020
2025,2022-03-11,01:41:26.953979
2011,2022-03-11,01:41:26.960017
2022,2022-03-11,01:41:26.967980
2019,2022-03-11,01:41:26.974036
2004,2022-03-11,01:41:26.979047
2012,2022-03-11,01:41:26.986013
2030,2022-03-11,01:41:26.992013
2021,2022-03-11,01:41:26.997981
2027,2022-03-11,01:41:27.006084
2026,2022-03-11,01:41:27.011033
2023,2022-03-11,01:41:27.017317
2009,2022-03-11,01:41:27.023327
2015,2022-03-11,01:41:27.029272
2014,2022-03-11,01:41:27.035271
2013,2022-03-11,01:41:27.040330
2031,2022-03-11,01:41:27.047339
2020,2022-03-11,01:41:27.051389
2030,2022-03-12,01:41:27.057981
2021,2022-03-12,01:41:27.064983
2007,2022-03-12,01:41:27.075982
2031,2022-03-12,01:41:27.082982
2016,2022-03-12,01:41:27.089057
2023,2022-03-12,01:41:27.094981
2019,2022-03-12,01:41:27.102032
2004,2022-03-12,01:41:27.108496
2028,2022-03-12,01:41:27.113570
2014,2022-03-12,01:41:27.121087
2017,2022-03-12,01:41:27.129087
2006,2022-03-12,01:41:27.137148
2027,2022-03-12,01:41:27.145087
2011,2022-03-12,01:41:27.154089
2026,2022-03-12,01:41:27.161087
2025,2022-03-12,01:41:27.171086
2009,2022-03-12,01:41:27.179087
2010,2022-03-12,01:41:27.185086
2015,2022-03-12,01:41:27.192086
2008,2022-03-13,01:41:27.198482
2029,2022-03-13,01:41:27.204484
2023,2022-03-13,01:41:27.209438
2024,2022-03-13,01:41:27.213486
2017,2022-03-13,01:41:27.220999
2025,2022-03-13,01:41:27.227052
2019,2022-03-13,01:41:27.234997
2012,2022-03-13,01:41:27.244009
2015,2022-03-13,01:41:27.252029
2018,2022-03-13,01:41:27.257031
2026,2022-03-13,01:41:27.261089
2022,2022-03-13,01:41:27.268142
2010,2022-03-13,01:41:27.274032
2004,2022-03-13,01:41:27.280032
2005,2022-03-13,01:41:27.286032
2013,2022-03-13,01:41:27.293031
2009,2022-03-13,01:41:27.299250
2020,2022-03-13,01:41:27.305299
2011,2022-03-13,01:41:27.311300
2021,2022-03-13,01:41:27.315856
2027,2022-03-13,01:41:27.321895
2010,2022-03-14,01:41:27.329930
2031,2022-03-14,01:41:27.336934
2021,2022-03-14,01:41:27.343933
2022,2022-03-14,01:41:27.349933
2009,2022-03-14,01:41:27.356933
2016,2022-03-14,01:41:27.361995
2017,2022-03-14,01:41:27.369935
2014,2022-03-14,01:41:27.375991
2007,2022-03-14,01:41:27.382939
2011,2022-03-14,01:41:27.390985
2027,2022-03-14,01:41:27.395987
2028,2022-03-14,01:41:27.403000
2019,2022-03-14,01:41:27.408996
2005,2022-03-14,01:41:27.413955
2030,2022-03-14,01:41:27.421373
2004,2022-03-14,01:41:27.427376
2026,2022-03-14,01:41:27.433376
2008,2022-03-14,01:41:27.440531
2018,2022-03-14,01:41:27.445830
2012,2022-03-14,01:41:27.452833
2023,2022-03-14,01:41:27.458833
2015,2022-03-14,01:41:27.463794
2015,2022-03-15,01:41:27.472855
2011,2022-03-15,01:41:27.479798
2013,2022-03-15,01:41:27.487801
2023,2022-03-15,01:41:27.492848
2017,2022-03-15,01:41:27.499798
2009,2022-03-15,01:41:27.507801
2007,2022-03-15,01:41:27.513804
2025,2022-03-15,01:41:27.521317
2026,2022-03-15,01:41:27.526374
2027,2022-03-15,01:41:27.534329
2022,2022-03-15,01:41:27.540317
2012,2022-03-15,01:41:27.547328
2031,2022-03-15,01:41:27.552368
2028,2022-03-15,01:41:27.558327
2010,2022-03-15,01:41:27.568318
2006,2022-03-15,01:41:27.575318
2021,2022-03-15,01:41:27.581360
2019,2022-03-15,01:41:27.588318
2018,2022-03-15,01:41:27.594663
2029,2022-03-16,01:41:27.603522
2020,2022-03-16,01:41:27.611467
2031,2022-03-16,01:41:27.620981
2006,2022-03-16,01:41:27.629982
2008,2022-03-16,01:41:27.640018
2022,2022-03-16,01:41:27.647978
2017,2022-03-16,01:41:27.656980
2007,2022-03-16,01:41:27.663038
2030,2022-03-16,01:41:27.672817
2024,2022-03-16,01:41:27.678858
2005,2022-03-16,01:41:27.684816
2013,2022-03-16,01:41:27.689866
2026,2022-03-16,01:41:27.694876
2018,2022-03-16,01:41:27.701871
2025,2022-03-16,01:41:27.706871
2014,2022-03-16,01:41:27.713871
2009,2022-03-16,01:41:27.720469
2021,2022-03-16,01:41:27.726422
2010,2022-03-16,01:41:27.731422
2023,2022-03-16,01:41:27.739423
2028,2022-03-16,01:41:27.745795
2031,2022-03-17,01:41:27.754537
2024,2022-03-17,01:41:27.763537
2018,2022-03-17,01:41:27.769587
2023,2022-03-17,01:41:27.774589
2004,2022-03-17,01:41:27.782540
2009,2022-03-17,01:41:27.789535
2005,2022-03-17,01:41:27.795535
2012,2022-03-17,01:41:27.803602
2010,2022-03-17,01:41:27.810966
2020,2022-03-17,01:41:27.818496
2029,2022-03-17,01:41:27.824235
2019,2022-03-17,01:41:27.831291
2022,2022-03-17,01:41:27.837238
2007,2022-03-17,01:41:27.843238
2027,2022-03-17,01:41:27.850238
2025,2022-03-17,01:41:27.857244
2013,2022-03-17,01:41:27.863259
2006,2022-03-17,01:41:27.868289
2017,2022-03-17,01:41:27.874932
2028,2022-03-17,01:41:27.881881
2021,2022-03-17,01:41:27.888844
2008,2022-03-18,01:41:27.899397
2020,2022-03-18,01:41:27.906452
2026,2022-03-18,01:41:27.913405
2019,2022-03-18,01:41:27.920564
2011,2022-03-18,01:41:27.926537
2013,2022-03-18,01:41:27.932519
2010,2022-03-18,01:41:27.941571
2018,2022-03-18,01:41:27.947520
2031,2022-03-18,01:41:27.954519
2015,2022-03-18,01:41:27.960520
2017,2022-03-18,01:41:27.968520
2023,2022-03-18,01:41:27.974519
2028,2022-03-18,01:41:27.980567
2009,2022-03-18,01:41:27.986537
2021,2022-03-18,01:41:27.993443
2027,2022-03-18,01:41:27.998383
2004,2022-03-18,01:41:28.006454
2030,2022-03-18,01:41:28.014474
2014,2022-03-18,01:41:28.019986
2024,2022-03-18,01:41:28.025984
2016,2022-03-18,01:41:28.034731
2004,2022-03-19,01:41:28.040403
2030,2022-03-19,01:41:28.049004
2027,2022-03-19,01:41:28.056040
2015,2022-03-19,01:41:28.062628
2024,2022-03-19,01:41:28.070633
2010,2022-03-19,01:41:28.081305
2020,2022-03-19,01:41:28.091358
2017,2022-03-19,01:41:28.096909
2008,2022-03-19,01:41:28.104016
2028,2022-03-19,01:41:28.109646
2029,2022-03-19,01:41:28.116342
2006,2022-03-19,01:41:28.122300
2012,2022-03-19,01:41:28.131361
2019,2022-03-19,01:41:28.139301
2007,2022-03-19,01:41:28.146301
2021,2022-03-19,01:41:28.156300
2025,2022-03-19,01:41:28.163366
2009,2022-03-19,01:41:28.173300
2013,2022-03-19,01:41:28.181346
2005,2022-03-19,01:41:28.186350
2023,2022-03-19,01:41:28.192360
2016,2022-03-19,01:41:28.198709
2014,2022-03-19,01:41:28.204711
2022,2022-03-19,01:41:28.210766
2013,2022-03-20,01:41:28.217467
2007,2022-03-20,01:41:28.225471
2029,2022-03-20,01:41:28.234475
2009,2022-03-20,01:41:28.239523
2017,2022-03-20,01:41:28.244521
2010,2022-03-20,01:41:28.253471
2016,2022-03-20,01:41:28.258522
2020,2022-03-20,01:41:28.285864
2027,2022-03-20,01:41:28.290921
2019,2022-03-20,01:41:28.306917
2028,2022-03-20,01:41:28.313000
2004,2022-03-20,01:41:28.318608
2023,2022-03-20,01:41:28.324590
2021,2022-03-20,01:41:28.330595
2030,2022-03-20,01:41:28.335927
2012,2022-03-20,01:41:28.342883
2022,2022-03-20,01:41:28.348883
2024,2022-03-20,01:41:28.353940
2014,2022-03-20,01:41:28.364846
2005,2022-03-21,01:41:28.373850
2015,2022-03-21,01:41:28.383908
2026,2022-03-21,01:41:28.391901
2023,2022-03-21,01:41:28.397847
2011,2022-03-21,01:41:28.405895
2017,2022-03-21,01:41:28.411849
2019,2022-03-21,01:41:28.420431
2021,2022-03-21,01:41:28.426479
2007,2022-03-21,01:41:28.434431
2008,2022-03-21,01:41:28.440601
2012,2022-03-21,01:41:28.446614
2016,2022-03-21,01:41:28.453604
2010,2022-03-21,01:41:28.460605
2024,2022-03-21,01:41:28.468820
2018,2022-03-21,01:41:28.474741
2025,2022-03-21,01:41:28.479744
2030,2022-03-21,01:41:28.494751
2028,2022-03-21,01:41:28.501807
2006,2022-03-21,01:41:28.508852
2029,2022-03-21,01:41:28.515807
2004,2022-03-21,01:41:28.521317
2014,2022-03-21,01:41:28.528317
2022,2022-03-21,01:41:28.535317
2020,2022-03-21,01:41:28.541318
2007,2022-03-22,01:41:28.548130
2026,2022-03-22,01:41:28.557180
2004,2022-03-22,01:41:28.565137
2006,2022-03-22,01:41:28.571192
2019,2022-03-22,01:41:28.577211
2029,2022-03-22,01:41:28.584147
2025,2022-03-22,01:41:28.593198
2031,2022-03-22,01:41:28.601236
2028,2022-03-22,01:41:28.607282
2009,2022-03-22,01:41:28.614240
2010,2022-03-22,01:41:28.621885
2014,2022-03-22,01:41:28.630846
2024,2022-03-22,01:41:28.638911
2015,2022-03-22,01:41:28.651846
2020,2022-03-22,01:41:28.657901
2012,2022-03-22,01:41:28.666917
2023,2022-03-22,01:41:28.676852
2017,2022-03-22,01:41:28.683411
2008,2022-03-22,01:41:28.690410
2021,2022-03-22,01:41:28.695361
2013,2022-03-22,01:41:28.700430
2027,2022-03-22,01:41:28.706433
2016,2022-03-22,01:41:28.711488
2013,2022-03-23,01:41:28.719038
2016,2022-03-23,01:41:28.725091
2012,2022-03-23,01:41:28.732039
2008,2022-03-23,01:41:28.739041
2009,2022-03-23,01:41:28.745038
2022,2022-03-23,01:41:28.752043
2023,2022-03-23,01:41:28.759089
2011,2022-03-23,01:41:28.767039
2026,2022-03-23,01:41:28.773038
2029,2022-03-23,01:41:28.778058
2010,2022-03-23,01:41:28.786180
2006,2022-03-23,01:41:28.793039
2024,2022-03-23,01:41:28.799039
2028,2022-03-23,01:41:28.805814
2025,2022-03-23,01:41:28.812757
2014,2022-03-23,01:41:28.819402
2027,2022-03-23,01:41:28.825411
2031,2022-03-23,01:41:28.832708
2005,2022-03-23,01:41:28.838710
2015,2022-03-23,01:41:28.843763
2007,2022-03-23,01:41:28.852711
2018,2022-03-23,01:41:28.858711
2029,2022-03-24,01:41:28.868418
2031,2022-03-24,01:41:28.876422
2027,2022-03-24,01:41:28.885421
2005,2022-03-24,01:41:28.890477
2007,2022-03-24,01:41:28.898421
2023,2022-03-24,01:41:28.905437
2010,2022-03-24,01:41:28.911483
2004,2022-03-24,01:41:28.919662
2009,2022-03-24,01:41:28.925632
2030,2022-03-24,01:41:28.934631
2019,2022-03-24,01:41:28.941631
2026,2022-03-24,01:41:28.948632
2025,2022-03-24,01:41:28.953633
2013,2022-03-24,01:41:28.961088
2016,2022-03-24,01:41:28.968147
2018,2022-03-24,01:41:28.976146
2014,2022-03-24,01:41:28.983097
2011,2022-03-24,01:41:28.989501
2021,2022-03-24,01:41:28.996503
2017,2022-03-24,01:41:29.002579
2024,2022-03-24,01:41:29.008623
2022,2022-03-24,01:41:29.017084
2020,2022-03-24,01:41:29.022118
2029,2022-03-25,01:41:29.031089
2025,2022-03-25,01:41:29.038086
2011,2022-03-25,01:41:29.043089
2015,2022-03-25,01:41:29.052103
2022,2022-03-25,01:41:29.058527
2031,2022-03-25,01:41:29.066476
2006,2022-03-25,01:41:29.072476
2024,2022-03-25,01:41:29.077522
2018,2022-03-25,01:41:29.087473
2028,2022-03-25,01:41:29.095478
2020,2022-03-25,01:41:29.102529
2026,2022-03-25,01:41:29.107574
2008,2022-03-25,01:41:29.113576
2030,2022-03-25,01:41:29.119191
2010,2022-03-25,01:41:29.126176
2014,2022-03-25,01:41:29.133140
2004,2022-03-25,01:41:29.140140
2007,2022-03-25,01:41:29.149151
2023,2022-03-25,01:41:29.156140
2017,2022-03-25,01:41:29.166150
2005,2022-03-25,01:41:29.178143
2009,2022-03-25,01:41:29.186818
2014,2022-03-26,01:41:29.194517
2004,2022-03-26,01:41:29.202682
2012,2022-03-26,01:41:29.208387
2005,2022-03-26,01:41:29.214390
2031,2022-03-26,01:41:29.221927
2019,2022-03-26,01:41:29.226957
2009,2022-03-26,01:41:29.235908
2030,2022-03-26,01:41:29.241908
2010,2022-03-26,01:41:29.247909
2016,2022-03-26,01:41:29.256907
2024,2022-03-26,01:41:29.263908
2015,2022-03-26,01:41:29.270908
2020,2022-03-26,01:41:29.277908
2007,2022-03-26,01:41:29.284908
2006,2022-03-26,01:41:29.292908
2026,2022-03-26,01:41:29.299908
2011,2022-03-26,01:41:29.305952
2021,2022-03-26,01:41:29.311012
2028,2022-03-26,01:41:29.318541
2027,2022-03-26,01:41:29.325541
2029,2022-03-26,01:41:29.331541
2018,2022-03-27,01:41:29.340593
2012,2022-03-27,01:41:29.347654
2019,2022-03-27,01:41:29.353591
2017,2022-03-27,01:41:29.358592
2023,2022-03-27,01:41:29.365484
2030,2022-03-27,01:41:29.371487
2024,2022-03-27,01:41:29.377488
2014,2022-03-27,01:41:29.385533
2027,2022-03-27,01:41:29.393114
2016,2022-03-27,01:41:29.400071
2029,2022-03-27,01:41:29.406116
2004,2022-03-27,01:41:29.414364
2021,2022-03-27,01:41:29.420935
2026,2022-03-27,01:41:29.426946
2009,2022-03-27,01:41:29.434930
2006,2022-03-27,01:41:29.439934
2008,2022-03-27,01:41:29.449889
2031,2022-03-27,01:41:29.453940
2011,2022-03-27,01:41:29.461900
2028,2022-03-27,01:41:29.471905
2025,2022-03-27,01:41:29.476939
2005,2022-03-27,01:41:29.482941
2024,2022-03-28,01:41:29.490936
2013,2022-03-28,01:41:29.500889
2012,2022-03-28,01:41:29.506990
2014,2022-03-28,01:41:29.512969
2020,2022-03-28,01:41:29.520572
2028,2022-03-28,01:41:29.526580
2017,2022-03-28,01:41:29.536560
2005,2022-03-28,01:41:29.542579
2025,2022-03-28,01:41:29.552526
2023,2022-03-28,01:41:29.557526
2022,2022-03-28,01:41:29.564526
2019,2022-03-28,01:41:29.571527
2010,2022-03-28,01:41:29.576589
2016,2022-03-28,01:41:29.585574
2018,2022-03-28,01:41:29.593527
2011,2022-03-28,01:41:29.599695
2007,2022-03-28,01:41:29.607827
2006,2022-03-28,01:41:29.613910
2004,2022-03-28,01:41:29.619526
2009,2022-03-28,01:41:29.625526
2031,2022-03-28,01:41:29.633526
2026,2022-03-28,01:41:29.643526
2013,2022-03-29,01:41:29.658595
2021,2022-03-29,01:41:29.669526
2017,2022-03-29,01:41:29.678526
2014,2022-03-29,01:41:29.686527
2011,2022-03-29,01:41:29.695527
2027,2022-03-29,01:41:29.703589
2018,2022-03-29,01:41:29.708643
2024,2022-03-29,01:41:29.716598
2029,2022-03-29,01:41:29.723712
2030,2022-03-29,01:41:29.730768
2020,2022-03-29,01:41:29.736760
2007,2022-03-29,01:41:29.742718
2031,2022-03-29,01:41:29.750752
2010,2022-03-29,01:41:29.758716
2026,2022-03-29,01:41:29.764756
2004,2022-03-29,01:41:29.770715
2005,2022-03-29,01:41:29.775761
2022,2022-03-29,01:41:29.781349
2023,2022-03-29,01:41:29.787352
2019,2022-03-29,01:41:29.795352
2026,2022-03-30,01:41:29.805401
2012,2022-03-30,01:41:29.810614
2008,2022-03-30,01:41:29.818164
2019,2022-03-30,01:41:29.824167
2020,2022-03-30,01:41:29.832168
2028,2022-03-30,01:41:29.839185
2022,2022-03-30,01:41:29.845169
2024,2022-03-30,01:41:29.853189
2005,2022-03-30,01:41:29.859214
2029,2022-03-30,01:41:29.866952
2014,2022-03-30,01:41:29.872006
2010,2022-03-30,01:41:29.878959
2031,2022-03-30,01:41:29.885992
2006,2022-03-30,01:41:29.894969
2009,2022-03-30,01:41:29.901023
2013,2022-03-30,01:41:29.906996
2007,2022-03-30,01:41:29.916019
2027,2022-03-30,01:41:29.921641
2021,2022-03-30,01:41:29.928637
2016,2022-03-30,01:41:29.935628
2017,2022-03-31,01:41:29.943592
2013,2022-03-31,01:41:29.953595
2019,2022-03-31,01:41:29.961593
2025,2022-03-31,01:41:29.971593
2010,2022-03-31,01:41:29.980595
2012,2022-03-31,01:41:29.988593
2022,2022-03-31,01:41:29.995597
2029,2022-03-31,01:41:30.004618
2030,2022-03-31,01:41:30.010640
2020,2022-03-31,01:41:30.018230
2016,2022-03-31,01:41:30.027232
2015,2022-03-31,01:41:30.036290
2027,2022-03-31,01:41:30.044259
2005,2022-03-31,01:41:30.062302
2006,2022-03-31,01:41:30.071233
2011,2022-03-31,01:41:30.082282
2018,2022-03-31,01:41:30.088237
2014,2022-03-31,01:41:30.097233
2007,2022-03-31,01:41:30.105313
2004,2022-03-31,01:41:30.113303
2009,2022-03-31,01:41:30.119874
2021,2022-03-31,01:41:30.128813
2024,2022-03-31,01:41:30.137813
2011,2022-04-01,01:42:12.619256
2022,2022-04-01,01:42:12.627256
2020,2022-04-01,01:42:12.634257
2025,2022-04-01,01:42:12.641257
2006,2022-04-01,01:42:12.649333
2015,2022-04-01,01:42:12.669847
2009,2022-04-01,01:42:12.695847
2024,2022-04-01,01:42:12.721845
2017,2022-04-01,01:42:12.744848
2010,2022-04-01,01:42:12.767376
2027,2022-04-01,01:42:12.790229
2031,2022-04-01,01:42:12.811273
2014,2022-04-01,01:42:12.832280
2029,2022-04-01,01:42:12.838230
2008,2022-04-01,01:42:12.845226
2026,2022-04-01,01:42:12.850303
2012,2022-04-01,01:42:12.857361
2030,2022-04-01,01:42:12.862893
2028,2022-04-01,01:42:12.868891
2027,2022-04-02,01:42:12.877164
2004,2022-04-02,01:42:12.884163
2010,2022-04-02,01:42:12.893166
2017,2022-04-02,01:42:12.899163
2022,2022-04-02,01:42:12.905170
2006,2022-04-02,01:42:12.913171
2020,2022-04-02,01:42:12.918219
2023,2022-04-02,01:42:12.926207
2005,2022-04-02,01:42:12.933114
2013,2022-04-02,01:42:12.940170
2031,2022-04-02,01:42:12.945195
2026,2022-04-02,01:42:12.950275
2024,2022-04-02,01:42:12.956239
2018,2022-04-02,01:42:12.961239
2008,2022-04-02,01:42:12.965870
2015,2022-04-02,01:42:12.971826
2030,2022-04-02,01:42:12.976860
2014,2022-04-02,01:42:12.981878
2019,2022-04-02,01:42:12.989862
2029,2022-04-02,01:42:12.995869
2011,2022-04-02,01:42:13.001894
2021,2022-04-02,01:42:13.007894
2015,2022-04-03,01:42:13.017914
2019,2022-04-03,01:42:13.026948
2020,2022-04-03,01:42:13.034953
2006,2022-04-03,01:42:13.041929
2021,2022-04-03,01:42:13.050905
2011,2022-04-03,01:42:13.058898
2030,2022-04-03,01:42:13.065569
2016,2022-04-03,01:42:13.072592
2018,2022-04-03,01:42:13.079637
2012,2022-04-03,01:42:13.085635
2009,2022-04-03,01:42:13.092682
2023,2022-04-03,01:42:13.098594
2024,2022-04-03,01:42:13.104597
2007,2022-04-03,01:42:13.110630
2014,2022-04-03,01:42:13.118596
2022,2022-04-03,01:42:13.126713
2017,2022-04-03,01:42:13.133713
2025,2022-04-03,01:42:13.139757
2010,2022-04-03,01:42:13.146607
2019,2022-04-04,01:42:13.157625
2015,2022-04-04,01:42:13.163222
2018,2022-04-04,01:42:13.170266
2006,2022-04-04,01:42:13.180232
2022,2022-04-04,01:42:13.188242
2010,2022-04-04,01:42:13.197255
2026,2022-04-04,01:42:13.206228
2012,2022-04-04,01:42:13.217225
2017,2022-04-04,01:42:13.225226
2014,2022-04-04,01:42:13.233225
2005,2022-04-04,01:42:13.243280
2004,2022-04-04,01:42:13.251314
2029,2022-04-04,01:42:13.260271
2031,2022-04-04,01:42:13.266891
2009,2022-04-04,01:42:13.273845
2016,2022-04-04,01:42:13.280912
2028,2022-04-04,01:42:13.287844
2023,2022-04-04,01:42:13.294844
2011,2022-04-04,01:42:13.300844
2025,2022-04-05,01:42:13.308844
2027,2022-04-05,01:42:13.315844
2021,2022-04-05,01:42:13.321493
2007,2022-04-05,01:42:13.331498
2028,2022-04-05,01:42:13.342512
2029,2022-04-05,01:42:13.352605
2023,2022-04-05,01:42:13.360610
2012,2022-04-05,01:42:13.369295
2026,2022-04-05,01:42:13.377347
2014,2022-04-05,01:42:13.384298
2019,2022-04-05,01:42:13.393325
2006,2022-04-05,01:42:13.398325
2016,2022-04-05,01:42:13.404361
2022,2022-04-05,01:42:13.411325
2013,2022-04-05,01:42:13.417328
2008,2022-04-05,01:42:13.424366
2011,2022-04-05,01:42:13.430326
2017,2022-04-05,01:42:13.437325
2030,2022-04-05,01:42:13.444325
2018,2022-04-05,01:42:13.451398
2014,2022-04-06,01:42:13.459450
2016,2022-04-06,01:42:13.465067
2029,2022-04-06,01:42:13.472748
2020,2022-04-06,01:42:13.480797
2008,2022-04-06,01:42:13.487750
2027,2022-04-06,01:42:13.496750
2006,2022-04-06,01:42:13.504750
2030,2022-04-06,01:42:13.513749
2005,2022-04-06,01:42:13.521750
2026,2022-04-06,01:42:13.528816
2028,2022-04-06,01:42:13.534748
2011,2022-04-06,01:42:13.541839
2018,2022-04-06,01:42:13.547787
2004,2022-04-06,01:42:13.553790
2015,2022-04-06,01:42:13.560790
2012,2022-04-06,01:42:13.567265
2019,2022-04-06,01:42:13.575021
2023,2022-04-06,01:42:13.580021
2017,2022-04-06,01:42:13.586022
2007,2022-04-06,01:42:13.595023
2028,2022-04-07,01:42:13.602032
2030,2022-04-07,01:42:13.609035
2011,2022-04-07,01:42:13.616988
2020,2022-04-07,01:42:13.627023
2025,2022-04-07,01:42:13.634114
2013,2022-04-07,01:42:13.643044
2024,2022-04-07,01:42:13.649047
2022,2022-04-07,01:42:13.657128
